ID,stim,rt,response,Year
CBDH0007,33,520,1,1
CBDH0007,33,584,1,1
CBDH0007,33,1000,0,1
CBDH0007,22,833,0,1
CBDH0007,22,1009,1,1
CBDH0007,22,634,0,1
CBDH0007,33,555,1,1
CBDH0007,33,796,0,1
CBDH0007,33,564,1,1
CBDH0007,11,420,1,1
CBDH0007,11,437,1,1
CBDH0007,33,550,1,1
CBDH0007,33,462,1,1
CBDH0007,33,639,0,1
CBDH0007,33,647,1,1
CBDH0007,22,559,1,1
CBDH0007,22,784,1,1
CBDH0007,22,481,0,1
CBDH0007,22,426,0,1
CBDH0007,22,378,1,1
CBDH0007,33,499,1,1
CBDH0007,33,483,1,1
CBDH0007,33,628,1,1
CBDH0007,11,445,1,1
CBDH0007,11,390,1,1
CBDH0008,33,416,1,1
CBDH0008,33,553,1,1
CBDH0008,33,474,1,1
CBDH0008,22,434,1,1
CBDH0008,22,603,1,1
CBDH0008,22,923,1,1
CBDH0008,33,589,1,1
CBDH0008,33,364,1,1
CBDH0008,33,549,1,1
CBDH0008,22,542,1,1
CBDH0008,11,448,1,1
CBDH0008,11,528,1,1
CBDH0008,11,431,1,1
CBDH0008,11,512,0,1
CBDH0008,33,394,1,1
CBDH0008,33,538,1,1
CBDH0008,11,483,1,1
CBDH0008,11,524,1,1
CBDH0008,22,1181,1,1
CBDH0008,22,830,1,1
CBDH0008,22,454,1,1
CBDH0008,22,414,1,1
CBDH0008,22,351,1,1
CBDH0008,33,512,1,1
CBDH0008,33,696,0,1
CBDH0008,33,328,1,1
CBDH0008,11,497,1,1
CBDH0008,11,666,1,1
CBDH0008,11,658,1,1
CBDH0008,11,644,1,1
CBDH0008,11,516,1,1
CBDH0008,11,516,0,1
CBDH0009,33,548,1,1
CBDH0009,33,373,1,1
CBDH0009,33,597,1,1
CBDH0009,11,542,1,1
CBDH0009,11,646,1,1
CBDH0009,22,800,0,1
CBDH0009,22,712,1,1
CBDH0009,11,458,1,1
CBDH0009,11,714,1,1
CBDH0009,11,530,1,1
CBDH0009,11,484,1,1
CBDH0009,11,708,1,1
CBDH0009,11,499,1,1
CBDH0009,22,709,1,1
CBDH0009,22,957,0,1
CBDH0009,22,983,1,1
CBDH0009,22,527,1,1
CBDH0009,22,1080,1,1
CBDH0009,11,480,1,1
CBDH0009,11,433,1,1
CBDH0009,33,602,1,1
CBDH0009,33,483,1,1
CBDH0009,33,572,1,1
CBDH0009,33,1004,1,1
CBDH0009,22,1334,0,1
CBDH0009,22,1102,1,1
CBDH0009,22,382,1,1
CBDH0009,33,471,1,1
CBDH0009,33,504,1,1
CBDH0009,33,632,1,1
CBDH0010,22,1347,0,1
CBDH0010,22,843,1,1
CBDH0010,22,1386,1,1
CBDH0010,22,1085,0,1
CBDH0010,11,670,1,1
CBDH0010,11,622,1,1
CBDH0010,11,518,1,1
CBDH0010,11,767,1,1
CBDH0010,11,679,1,1
CBDH0010,33,657,1,1
CBDH0010,33,769,1,1
CBDH0010,33,922,1,1
CBDH0010,33,786,1,1
CBDH0010,33,956,1,1
CBDH0010,11,589,1,1
CBDH0010,11,517,1,1
CBDH0010,33,1063,1,1
CBDH0010,33,998,1,1
CBDH0010,33,1080,1,1
CBDH0010,33,888,1,1
CBDH0010,33,960,1,1
CBDH0010,11,729,1,1
CBDH0010,11,602,1,1
CBDH0010,11,650,1,1
CBDH0010,22,875,1,1
CBDH0010,22,1198,1,1
CBDH0011,11,512,1,3
CBDH0011,11,457,1,3
CBDH0011,11,587,1,3
CBDH0011,11,515,1,3
CBDH0011,11,571,1,3
CBDH0011,33,500,1,3
CBDH0011,33,516,1,3
CBDH0011,11,494,1,3
CBDH0011,11,518,1,3
CBDH0011,33,503,1,3
CBDH0011,33,663,1,3
CBDH0011,33,480,1,3
CBDH0011,22,761,1,3
CBDH0011,22,801,1,3
CBDH0011,22,674,1,3
CBDH0011,33,715,1,3
CBDH0011,33,747,1,3
CBDH0011,33,692,1,3
CBDH0011,22,837,0,3
CBDH0011,22,597,1,3
CBDH0011,22,815,1,3
CBDH0011,22,247,0,3
CBDH0011,11,536,1,3
CBDH0011,11,633,1,3
CBDH0011,11,505,1,3
CBDH0011,22,739,1,3
CBDH0011,22,1067,0,3
CBDH0011,22,779,1,3
CBDH0011,33,651,1,3
CBDH0011,33,668,1,3
CBDH0011,11,543,1,2
CBDH0011,11,423,1,2
CBDH0011,11,552,1,2
CBDH0011,11,600,1,2
CBDH0011,11,545,1,2
CBDH0011,33,738,0,2
CBDH0011,33,571,1,2
CBDH0011,33,483,1,2
CBDH0011,11,364,1,2
CBDH0011,11,557,1,2
CBDH0011,33,669,1,2
CBDH0011,33,646,1,2
CBDH0011,33,759,1,2
CBDH0011,22,680,1,2
CBDH0011,22,360,1,2
CBDH0011,22,833,1,2
CBDH0011,33,698,1,2
CBDH0011,33,490,1,2
CBDH0011,33,763,1,2
CBDH0011,22,140,0,2
CBDH0011,22,788,1,2
CBDH0011,22,941,0,2
CBDH0011,22,1293,0,2
CBDH0011,22,1325,1,2
CBDH0011,22,645,1,2
CBDH0011,22,165,0,2
CBDH0011,11,638,1,2
CBDH0011,11,591,1,2
CBDH0011,11,615,1,2
CBDH0011,22,736,1,2
CBDH0011,22,1216,0,2
CBDH0011,22,689,0,2
CBDH0011,22,1073,1,2
CBDH0011,33,507,1,2
CBDH0011,11,511,1,1
CBDH0011,11,503,1,1
CBDH0011,11,713,1,1
CBDH0011,11,529,1,1
CBDH0011,11,602,1,1
CBDH0011,33,379,1,1
CBDH0011,33,595,1,1
CBDH0011,33,588,0,1
CBDH0011,11,437,1,1
CBDH0011,11,829,1,1
CBDH0011,33,510,1,1
CBDH0011,33,487,1,1
CBDH0011,33,583,1,1
CBDH0011,22,712,1,1
CBDH0011,22,856,1,1
CBDH0011,33,818,1,1
CBDH0011,33,635,1,1
CBDH0011,33,667,1,1
CBDH0011,22,900,0,1
CBDH0011,22,1060,1,1
CBDH0011,22,500,0,1
CBDH0011,22,972,0,1
CBDH0011,22,638,0,1
CBDH0011,22,598,1,1
CBDH0011,22,894,0,1
CBDH0011,22,734,1,1
CBDH0011,22,1151,1,1
CBDH0011,11,503,1,1
CBDH0011,11,623,1,1
CBDH0011,11,480,1,1
CBDH0011,22,729,1,1
CBDH0011,22,634,0,1
CBDH0011,33,458,1,1
CBDH0011,33,683,0,1
CBDH0011,33,611,1,1
CBDH0012,22,405,1,3
CBDH0012,22,446,1,3
CBDH0012,11,646,1,3
CBDH0012,11,447,1,3
CBDH0012,11,433,1,3
CBDH0012,11,601,1,3
CBDH0012,22,482,1,3
CBDH0012,22,827,1,3
CBDH0012,22,908,1,3
CBDH0012,22,405,1,3
CBDH0012,22,421,0,3
CBDH0012,22,341,1,3
CBDH0012,33,581,1,3
CBDH0012,33,413,1,3
CBDH0012,33,310,1,3
CBDH0012,33,655,1,3
CBDH0012,33,608,0,3
CBDH0012,33,600,1,3
CBDH0012,11,714,1,3
CBDH0012,11,554,1,3
CBDH0012,11,697,1,3
CBDH0012,22,587,0,3
CBDH0012,22,484,1,3
CBDH0012,22,740,1,3
CBDH0012,33,717,1,3
CBDH0012,33,581,1,3
CBDH0012,33,589,0,3
CBDH0012,33,477,1,3
CBDH0012,11,647,1,3
CBDH0012,11,431,1,3
CBDH0012,11,671,1,3
CBDH0012,33,369,1,3
CBDH0012,33,385,1,3
CBDH0012,22,807,1,2
CBDH0012,22,656,0,2
CBDH0012,22,280,0,2
CBDH0012,22,568,0,2
CBDH0012,11,537,1,2
CBDH0012,11,401,1,2
CBDH0012,11,474,1,2
CBDH0012,11,491,1,2
CBDH0012,22,307,0,2
CBDH0012,22,245,0,2
CBDH0012,22,365,0,2
CBDH0012,22,855,1,2
CBDH0012,22,623,0,2
CBDH0012,22,207,0,2
CBDH0012,33,416,1,2
CBDH0012,33,640,1,2
CBDH0012,33,681,0,2
CBDH0012,33,337,1,2
CBDH0012,33,418,1,2
CBDH0012,33,562,1,2
CBDH0012,11,524,1,2
CBDH0012,11,236,1,2
CBDH0012,11,316,0,2
CBDH0012,22,958,1,2
CBDH0012,22,1102,0,2
CBDH0012,22,902,1,2
CBDH0012,22,1086,0,2
CBDH0012,22,862,1,2
CBDH0012,33,503,1,2
CBDH0012,33,880,1,2
CBDH0012,33,999,1,2
CBDH0012,11,1088,1,2
CBDH0012,11,600,1,2
CBDH0012,11,705,1,2
CBDH0012,33,331,0,2
CBDH0012,33,315,0,2
CBDH0012,22,561,1,1
CBDH0012,22,498,1,1
CBDH0012,11,739,1,1
CBDH0012,11,507,1,1
CBDH0012,11,581,1,1
CBDH0012,11,438,1,1
CBDH0012,22,598,1,1
CBDH0012,22,919,1,1
CBDH0012,22,768,1,1
CBDH0012,22,648,1,1
CBDH0012,22,1073,0,1
CBDH0012,22,489,1,1
CBDH0012,33,569,1,1
CBDH0012,33,554,1,1
CBDH0012,33,498,0,1
CBDH0012,33,459,1,1
CBDH0012,33,557,1,1
CBDH0012,11,646,1,1
CBDH0012,11,390,1,1
CBDH0012,22,936,1,1
CBDH0012,33,570,1,1
CBDH0012,33,457,1,1
CBDH0012,33,594,1,1
CBDH0012,11,595,1,1
CBDH0012,11,547,1,1
CBDH0012,11,643,1,1
CBDH0012,33,565,1,1
CBDH0012,33,285,0,1
CBDH0013,22,379,1,3
CBDH0013,22,380,1,3
CBDH0013,22,413,1,3
CBDH0013,11,607,1,3
CBDH0013,11,503,1,3
CBDH0013,11,494,1,3
CBDH0013,11,1222,0,3
CBDH0013,11,528,1,3
CBDH0013,11,360,1,3
CBDH0013,33,826,1,3
CBDH0013,33,619,1,3
CBDH0013,22,308,0,3
CBDH0013,33,885,1,3
CBDH0013,33,390,1,3
CBDH0013,11,959,1,3
CBDH0013,11,744,0,3
CBDH0013,33,721,1,3
CBDH0013,33,626,1,3
CBDH0013,33,706,1,3
CBDH0013,11,611,1,3
CBDH0013,11,651,1,3
CBDH0013,11,707,1,3
CBDH0013,22,645,1,3
CBDH0013,33,606,0,3
CBDH0013,33,375,1,3
CBDH0013,33,390,0,3
CBDH0013,33,277,0,3
CBDH0013,22,416,1,2
CBDH0013,22,360,1,2
CBDH0013,22,898,0,2
CBDH0013,22,434,1,2
CBDH0013,11,387,1,2
CBDH0013,11,507,1,2
CBDH0013,11,643,1,2
CBDH0013,11,573,1,2
CBDH0013,11,494,1,2
CBDH0013,11,190,0,2
CBDH0013,33,1391,0,2
CBDH0013,33,615,0,2
CBDH0013,33,311,1,2
CBDH0013,33,631,1,2
CBDH0013,33,335,0,2
CBDH0013,33,463,1,2
CBDH0013,22,577,1,2
CBDH0013,22,530,0,2
CBDH0013,22,634,1,2
CBDH0013,33,738,0,2
CBDH0013,11,237,0,2
CBDH0013,33,303,1,2
CBDH0013,33,534,0,2
CBDH0013,11,568,1,2
CBDH0013,11,600,1,2
CBDH0013,11,448,0,2
CBDH0013,11,600,1,2
CBDH0013,11,1321,0,2
CBDH0013,11,337,0,2
CBDH0013,22,306,0,2
CBDH0013,22,362,0,2
CBDH0013,33,547,0,2
CBDH0013,33,675,0,2
CBDH0013,33,323,0,2
CBDH0013,33,19,0,2
CBDH0013,33,131,0,2
CBDH0013,33,419,0,2
CBDH0013,33,963,1,2
CBDH0013,33,748,1,2
CBDH0013,33,1060,0,2
CBDH0013,33,380,0,2
CBDH0013,22,375,0,1
CBDH0013,22,383,0,1
CBDH0013,22,367,0,1
CBDH0013,22,215,0,1
CBDH0013,22,287,0,1
CBDH0013,22,215,0,1
CBDH0013,22,271,1,1
CBDH0013,22,47,0,1
CBDH0013,22,480,0,1
CBDH0013,22,904,0,1
CBDH0013,22,328,0,1
CBDH0013,22,344,0,1
CBDH0013,22,310,0,1
CBDH0013,22,376,0,1
CBDH0013,22,401,0,1
CBDH0013,22,769,0,1
CBDH0013,22,985,1,1
CBDH0013,22,545,0,1
CBDH0013,11,570,0,1
CBDH0013,11,651,1,1
CBDH0013,11,683,0,1
CBDH0013,11,323,0,1
CBDH0013,11,691,0,1
CBDH0013,11,540,0,1
CBDH0013,11,283,0,1
CBDH0013,11,444,0,1
CBDH0013,11,468,1,1
CBDH0013,11,180,0,1
CBDH0013,11,44,0,1
CBDH0013,11,468,1,1
CBDH0013,11,428,0,1
CBDH0013,11,333,0,1
CBDH0013,11,317,0,1
CBDH0013,11,253,0,1
CBDH0013,11,277,0,1
CBDH0014,33,545,1,3
CBDH0014,33,433,1,3
CBDH0014,11,482,1,3
CBDH0014,11,498,1,3
CBDH0014,11,483,1,3
CBDH0014,11,163,0,3
CBDH0014,33,932,1,3
CBDH0014,33,813,1,3
CBDH0014,33,446,1,3
CBDH0014,33,503,1,3
CBDH0014,33,630,1,3
CBDH0014,33,470,0,3
CBDH0014,22,976,1,3
CBDH0014,22,640,1,3
CBDH0014,22,616,0,3
CBDH0014,11,794,1,3
CBDH0014,11,610,1,3
CBDH0014,11,635,1,3
CBDH0014,11,524,1,3
CBDH0014,22,565,0,3
CBDH0014,22,622,1,3
CBDH0014,11,439,1,3
CBDH0014,11,807,1,3
CBDH0014,11,480,1,3
CBDH0014,22,153,0,3
CBDH0014,22,1321,0,3
CBDH0014,22,898,1,3
CBDH0014,22,266,0,3
CBDH0014,22,522,1,3
CBDH0014,22,611,1,3
CBDH0014,22,1395,0,3
CBDH0014,22,595,0,3
CBDH0014,22,1123,0,3
CBDH0014,22,1067,1,3
CBDH0014,22,811,0,3
CBDH0014,33,1324,1,3
CBDH0014,33,636,1,3
CBDH0014,33,950,1,3
CBDH0014,33,555,1,2
CBDH0014,33,419,1,2
CBDH0014,11,437,1,2
CBDH0014,11,709,1,2
CBDH0014,11,469,1,2
CBDH0014,33,519,1,2
CBDH0014,33,424,1,2
CBDH0014,33,1001,1,2
CBDH0014,33,530,1,2
CBDH0014,22,650,1,2
CBDH0014,22,458,1,2
CBDH0014,11,628,1,2
CBDH0014,11,1173,1,2
CBDH0014,11,574,1,2
CBDH0014,11,598,1,2
CBDH0014,22,536,1,2
CBDH0014,11,450,1,2
CBDH0014,11,513,1,2
CBDH0014,11,649,1,2
CBDH0014,22,1171,1,2
CBDH0014,22,483,1,2
CBDH0014,22,572,1,2
CBDH0014,22,381,1,2
CBDH0014,22,621,0,2
CBDH0014,22,606,0,2
CBDH0014,22,1294,0,2
CBDH0014,33,567,1,2
CBDH0014,33,447,1,2
CBDH0014,33,616,1,2
CBDH0014,33,498,1,1
CBDH0014,33,427,1,1
CBDH0014,11,405,1,1
CBDH0014,11,332,1,1
CBDH0014,11,444,1,1
CBDH0014,33,1006,1,1
CBDH0014,33,606,0,1
CBDH0014,33,503,1,1
CBDH0014,33,455,1,1
CBDH0014,33,1016,1,1
CBDH0014,33,600,0,1
CBDH0014,33,904,1,1
CBDH0014,22,522,1,1
CBDH0014,22,353,1,1
CBDH0014,11,428,1,1
CBDH0014,11,652,1,1
CBDH0014,11,660,1,1
CBDH0014,11,685,1,1
CBDH0014,22,478,1,1
CBDH0014,11,520,1,1
CBDH0014,11,473,1,1
CBDH0014,11,465,1,1
CBDH0014,22,185,0,1
CBDH0014,22,427,1,1
CBDH0014,22,355,1,1
CBDH0014,22,188,0,1
CBDH0014,22,965,0,1
CBDH0014,33,558,1,1
CBDH0014,33,542,1,1
CBDH0014,33,486,1,1
CBDH0015,22,477,1,3
CBDH0015,22,709,1,3
CBDH0015,22,670,1,3
CBDH0015,11,678,1,3
CBDH0015,11,471,1,3
CBDH0015,33,641,1,3
CBDH0015,33,665,1,3
CBDH0015,11,962,1,3
CBDH0015,11,667,1,3
CBDH0015,11,532,1,3
CBDH0015,11,748,1,3
CBDH0015,11,668,1,3
CBDH0015,11,373,0,3
CBDH0015,11,53,0,3
CBDH0015,33,670,1,3
CBDH0015,33,998,1,3
CBDH0015,33,126,0,3
CBDH0015,33,574,1,3
CBDH0015,11,696,1,3
CBDH0015,11,656,1,3
CBDH0015,11,480,1,3
CBDH0015,33,801,1,3
CBDH0015,33,930,1,3
CBDH0015,22,1076,1,3
CBDH0015,22,53,0,3
CBDH0015,22,1093,0,3
CBDH0015,22,950,1,3
CBDH0015,22,1221,1,3
CBDH0015,33,935,1,3
CBDH0015,33,823,0,3
CBDH0015,33,319,0,3
CBDH0015,33,719,1,3
CBDH0015,33,640,1,3
CBDH0015,22,713,1,3
CBDH0015,22,810,0,3
CBDH0015,22,521,1,2
CBDH0015,22,769,1,2
CBDH0015,22,642,1,2
CBDH0015,11,539,1,2
CBDH0015,11,499,1,2
CBDH0015,33,837,1,2
CBDH0015,33,558,1,2
CBDH0015,11,695,1,2
CBDH0015,11,729,1,2
CBDH0015,11,689,1,2
CBDH0015,11,585,1,2
CBDH0015,11,33,0,2
CBDH0015,33,762,1,2
CBDH0015,33,515,1,2
CBDH0015,11,740,1,2
CBDH0015,11,452,1,2
CBDH0015,11,772,1,2
CBDH0015,33,470,1,2
CBDH0015,22,688,1,2
CBDH0015,22,658,1,2
CBDH0015,22,906,1,2
CBDH0015,33,612,1,2
CBDH0015,33,740,1,2
CBDH0015,22,757,1,2
CBDH0015,22,718,1,2
CBDH0015,22,436,1,1
CBDH0015,22,420,1,1
CBDH0015,22,748,0,1
CBDH0015,22,565,1,1
CBDH0015,11,470,1,1
CBDH0015,11,454,1,1
CBDH0015,33,455,1,1
CBDH0015,33,424,1,1
CBDH0015,11,521,1,1
CBDH0015,11,449,1,1
CBDH0015,11,523,1,1
CBDH0015,11,755,1,1
CBDH0015,11,579,1,1
CBDH0015,33,485,1,1
CBDH0015,33,741,1,1
CBDH0015,33,734,1,1
CBDH0015,11,694,1,1
CBDH0015,11,582,1,1
CBDH0015,11,559,1,1
CBDH0015,33,633,1,1
CBDH0015,33,577,1,1
CBDH0015,22,466,1,1
CBDH0015,22,1027,0,1
CBDH0015,22,724,0,1
CBDH0015,22,1340,1,1
CBDH0015,33,750,1,1
CBDH0015,33,734,1,1
CBDH0015,33,662,1,1
CBDH0015,22,583,1,1
CBDH0015,22,928,0,1
CBDH0015,22,712,1,1
CBDH0015,22,1040,0,1
